home_team,away_team,model_home_prob,market_home_prob,home_diff,model_draw_prob,market_draw_prob,draw_diff,model_away_prob,market_away_prob,away_diff,abs_diff
Saudi Arabia,Uruguay,0.0817727707458631,0.1343325096012922,-0.0525597388554291,0.1746531321906337,0.2171657199097104,-0.0425125877190767,0.7435740970635032,0.6485017704889973,0.0950723265745059,0.1901446531490118
Belgium,Egypt,0.6749083253821612,0.5800611932687404,0.0948471321134207,0.2018690499581676,0.2409484956654768,-0.0390794457073092,0.1232226246596712,0.1789903110657827,-0.0557676864061115,0.1896942642268415
Argentina,Austria,0.6812242929797637,0.5866236905721192,0.0946006024076445,0.1995881760935918,0.2436744560838034,-0.0440862799902115,0.1191875309266444,0.1697018533440773,-0.0505143224174329,0.189201204815289
Ghana,Panama,0.3841561260822734,0.4452054794520548,-0.0610493533697814,0.2583154078258801,0.2876712328767123,-0.0293558250508322,0.3575284660918464,0.2671232876712329,0.0904051784206135,0.1808103568412272
Portugal,DR Congo,0.8362703796851039,0.7472380793478649,0.0890323003372389,0.1229059548725203,0.1664898878546997,-0.0435839329821794,0.0408236654423756,0.0862720327974353,-0.0454483673550597,0.1780646006744781
Ivory Coast,Ecuador,0.3195101489859741,0.2964169381107491,0.0230932108752249,0.2565170329445302,0.3387622149837133,-0.0822451820391831,0.4239728180694956,0.3648208469055374,0.0591519711639582,0.1644903640783662
Panama,England,0.0417892340368262,0.0864790665751544,-0.0446898325383282,0.1253982423740724,0.1585449553877831,-0.0331467130137106,0.8328125235891013,0.7549759780370624,0.0778365455520389,0.1556730911040778
Tunisia,Netherlands,0.1034414440422117,0.1453287197231834,-0.0418872756809717,0.1899847331052478,0.2249134948096885,-0.0349287617044407,0.7065738228525404,0.629757785467128,0.0768160373854124,0.1536320747708248
Portugal,Uzbekistan,0.8328125235891014,0.7578253706754531,0.0749871529136483,0.1253982423740724,0.1591433278418451,-0.0337450854677727,0.0417892340368262,0.0830313014827018,-0.0412420674458756,0.1499743058272967
New Zealand,Belgium,0.0463465404106235,0.0865198918501352,-0.0401733514395117,0.1370307680330471,0.1699497875627655,-0.0329190195297184,0.8166226915563293,0.7435303205870993,0.0730923709692299,0.1461847419384601
Jordan,Argentina,0.0332300918223316,0.062423699845365,-0.0291936080230334,0.1029343947590905,0.1440546919508423,-0.0411202971917518,0.8638355134185778,0.7935216082037927,0.070313905214785,0.1406278104295703
Turkey,Paraguay,0.4510721624741737,0.4945968412302577,-0.043524678756084,0.2541268946202169,0.2793017456359102,-0.0251748510156932,0.2948009429056092,0.226101413133832,0.0686995297717771,0.1373990595435544
Belgium,Iran,0.7376617581261574,0.670219700164871,0.0674420579612864,0.1772096671972677,0.2054369080940148,-0.0282272408967471,0.0851285746765747,0.1243433917411142,-0.0392148170645395,0.1348841159225731
Jordan,Algeria,0.1928796886537425,0.1408456896646478,0.0520339989890946,0.232103659145436,0.2210949779619472,0.0110086811834887,0.5750166522008214,0.6380593323734048,-0.0630426801725834,0.1260853603451668
England,Croatia,0.4923326302259229,0.5417607223476297,-0.0494280921217068,0.2487674985985697,0.2618510158013544,-0.0130835172027846,0.2588998711755074,0.1963882618510158,0.0625116093244916,0.1250232186489831
Mexico,South Korea,0.4510721624741737,0.4839168801594079,-0.0328447176852342,0.2541268946202169,0.2789638485624822,-0.0248369539422653,0.2948009429056092,0.2371192712781099,0.0576816716274993,0.1153633432549988
Netherlands,Japan,0.4923326302259229,0.4473684210526316,0.0449642091732913,0.2487674985985697,0.2763157894736842,-0.0275482908751145,0.2588998711755074,0.2763157894736842,-0.0174159182981768,0.0899284183465826
Spain,Saudi Arabia,0.8147564413116778,0.8552531549338603,-0.0404967136221825,0.1383679079727034,0.1064315037251026,0.0319364042476007,0.0468756507156186,0.0383153413410369,0.0085603093745816,0.0809934272443649
Sweden,Tunisia,0.5062989540592835,0.494321744583014,0.0119772094762695,0.24649831355258,0.2861074339859263,-0.0396091204333463,0.2472027323881364,0.2195708214310597,0.0276319109570767,0.0792182408666925
Iran,New Zealand,0.4923326302259229,0.4896070589501247,0.0027255712757982,0.2487674985985697,0.2877383023368425,-0.0389708037382728,0.2588998711755074,0.2226546387130328,0.0362452324624745,0.0779416074765455
Colombia,Portugal,0.2703948084055406,0.2672872340425532,0.0031075743629873,0.2507398323401557,0.2872340425531914,-0.0364942102130357,0.4788653592543037,0.4454787234042553,0.0333866358500483,0.0729884204260715
Tunisia,Japan,0.1829405349792436,0.179542824074074,0.0033977109051695,0.2286983304590461,0.2607060185185185,-0.0320076880594723,0.5883611345617102,0.5597511574074074,0.0286099771543028,0.0640153761189447
New Zealand,Egypt,0.2034226188794174,0.1828922495274101,0.0205303693520072,0.2354359603110685,0.2641776937618147,-0.0287417334507462,0.561141420809514,0.5529300567107751,0.0082113640987389,0.0574834669014923
Austria,Jordan,0.7435740970635032,0.7149911119889394,0.0285829850745638,0.1746531321906337,0.1777602212127197,-0.003107089022086,0.0817727707458631,0.1072486667983409,-0.0254758960524777,0.0571659701491276
Brazil,Haiti,0.8522632962522305,0.8705024042447355,-0.0182391079925049,0.1113417256836904,0.0911954899684961,0.0201462357151943,0.036394978064079,0.0383021057867683,-0.0019071277226893,0.0402924714303886
Germany,Ivory Coast,0.6289101318137678,0.6129597197898423,0.0159504120239254,0.2171514212295703,0.2276707530647986,-0.0105193318352282,0.1539384469566619,0.159369527145359,-0.0054310801886971,0.0319008240478508
Ecuador,Germany,0.1928796886537425,0.1877777777777778,0.0051019108759647,0.232103659145436,0.2455555555555555,-0.0134518964101195,0.5750166522008214,0.5666666666666667,0.0083499855341547,0.026903792820239
Netherlands,Sweden,0.5750166522008214,0.5783548587609643,-0.0033382065601428,0.232103659145436,0.2415912701153394,-0.0094876109699034,0.1928796886537425,0.1800538711236964,0.012825817530046,0.0256516350600923
Spain,Cape Verde,0.8551984170549882,0.8605059429591043,-0.005307525904116,0.1092125613633944,0.0979652919676518,0.0112472693957425,0.0355890215816174,0.0415287650732437,-0.0059397434916263,0.0224945387914849
France,Iraq,0.8551984170549882,0.8611468663318768,-0.0059484492768885,0.1092125613633944,0.1006182128029877,0.0085943485604066,0.0355890215816174,0.0382349208651353,-0.0026458992835179,0.0171886971208131
France,Senegal,0.6419326806040975,0.6386964914272737,0.0032361891768237,0.2130609233548059,0.2100601794027478,0.003000743952058,0.1450063960410964,0.1512433291699784,-0.006236933128882,0.0124738662577638
